id,text,label,language,is_local_task,pair_id,pair_role,split
ex1,Officials at the municipal office in Kampala logged electricity faults after the clinic queue moved.,1,eng,1,,,train
ex2,Maktaba ya eneo la huduma ilikopesha vitabu kwa wanafunzi jioni.,1,swa,0,,,train
ex3,"During the first shift, the municipal office in Polokwane updated water-account records before noon.",1,eng,1,,,train
ex4,Isikole saseindawo yomphakathi sabhalisa abafundi abafike sekwephuzile ngaphambi kwekhefu.,1,zul,0,,,train
ex5,The SASSA office in Arusha captured grant applications while matric registration was still under way.,1,eng,1,,,train
ex6,Officials at the library in Mamelodi hosted a reading circle while matric registration was still under way.,1,eng,1,,,train
ex7,Shule ya Kigali ilisajili wanafunzi waliochelewa kabla ya kipindi cha kwanza.,1,swa,1,,,train
ex8,People at the taxi rank in Kisumu said officials announced route changes before the day ended.,1,eng,1,,,train
ex9,Officials at the bank branch in Kigali replaced a bank card after load-shedding ended.,1,eng,1,,,train
ex10,Officials at the clinic in Arusha checked blood-pressure cards while matric registration was still under way.,1,eng,1,,,train
ex11,Officials at the school in Mombasa registered late learners while matric registration was still under way.,1,eng,1,,,train
ex12,People at the library in Arusha said officials catalogued new books while the morning line was still moving.,1,eng,1,,,train
ex13,Kliniki ya Mbombela ilipokea wagonjwa tena baada ya foleni kupungua.,1,swa,1,,,train
ex14,Maktaba ya Kampala ilikopesha vitabu kwa wanafunzi jioni.,1,swa,1,,,train
ex15,People at the school in the administrative office said officials called a parents' meeting once the manager signed off.,1,eng,0,,,train
ex16,"Kliniki ya Polokwane ilipokea wagonjwa wa dharura kwanza, then the routine files were checked.",1,eng,1,,,train
ex17,Ofisi ya msaada wa kijamii ya Kampala ilijibu maswali ya malipo asubuhi.,1,swa,1,,,train
ex18,"At the Home Affairs office in the service point, staff explained ukuthi collections would resume once the network returned.",1,eng,0,,,train
ex19,The bank branch in the town centre opened savings accounts during office hours.,1,eng,0,,,train
ex20,Ofisi ya manispaa ya Arusha ilisasisha bili za maji kabla ya mchana.,1,swa,1,,,train
ex21,"At the clinic in Kampala, staff scheduled follow-up visits before noon.",1,eng,1,,,train
ex22,Isikole saseMitchells Plain sabhalisa abafundi abafike sekwephuzile ngaphambi kwekhefu.,1,zul,1,,,train
ex23,Umtholampilo waseidolobha wamukele iziguli ekuseni ngemva kokwehla kolayini.,1,zul,0,,,train
ex24,Ihhovisi le-SASSA eeThekwini lixazulule imibuzo yezinkokhelo ekuseni.,1,zul,1,,,train
ex25,The school in the local ward opened the gates after assembly before closing time.,1,eng,0,,,train
ex26,Umtapo wolwazi waseSoweto ubolekise izincwadi kubafundi ntambama.,1,zul,1,,,train
ex27,People at the Home Affairs office in Gqeberha said officials processed late registrations before noon.,1,eng,1,,,train
ex28,The SASSA office in the district office scheduled card collections during office hours.,1,eng,0,,,train
ex29,"At the municipal office in the administrative office, staff issued refuse schedules once the manager signed off.",1,eng,0,,,train
ex30,Officials at the SASSA office in the municipal area captured grant applications during routine operations.,1,eng,0,,,train
ex31,"At the Home Affairs office in Kampala, staff captured ID applications before noon.",1,eng,1,,,train
ex32,Ihhovisi likamasipala eUmlazi lamukela izikhalo zamanzi ngaphambi kwemini.,1,zul,1,,,train
ex33,Officials at the Home Affairs office in the local ward released completed passports during office hours.,1,eng,0,,,train
ex34,People at the library in Stellenbosch said officials lent out textbooks after the network recovered.,1,eng,1,,,train
ex35,Ofisi ya eneo la huduma ya hati za utambulisho ilianza tena kutoa vitambulisho baada ya mtandao kurudi.,1,swa,0,,,train
ex36,"During the first shift, the taxi rank in Arusha announced route changes once the manager signed off.",1,eng,1,,,train
ex37,"By mid-morning, the municipal office in the settlement issued refuse schedules once the manager signed off.",1,eng,0,,,train
ex38,"At the school in Mitchells Plain, staff registered late learners before the day ended.",1,eng,1,,,train
ex39,Ihhovisi likamasipala eMitchells Plain lamukela izikhalo zamanzi ngaphambi kwemini.,1,zul,1,,,train
ex40,"At the bank branch in Khayelitsha, staff updated debit orders before noon.",1,eng,1,,,train
ex41,The SASSA office in the town centre scheduled card collections after the morning briefing.,1,eng,0,,,train
ex42,"After the queue shortened, the library in Umlazi hosted a reading circle before noon.",1,eng,1,,,train
ex43,Officials at the SASSA office in Mombasa scheduled card collections while matric registration was still under way.,1,eng,1,,,train
ex44,The school in Mombasa marked exam scripts after load-shedding ended.,1,eng,1,,,train
ex45,Ihhovisi le-Home Affairs eindawo kahulumeni laqhubeka nokukhupha omazisi ngemva kokubuya kohlelo.,1,zul,0,,,train
ex46,Ofisi ya msaada wa kijamii ya Mbombela ilijibu maswali ya malipo asubuhi.,1,swa,1,,,train
ex47,Ofisi ya msaada wa kijamii ya eneo la huduma ilijibu maswali ya malipo asubuhi.,1,swa,0,,,train
ex48,Isikole saseKwaMashu sabhalisa abafundi abafike sekwephuzile ngaphambi kwekhefu.,1,zul,1,,,train
ex49,"Just before lunch, the clinic in the settlement re-opened the waiting room once the manager signed off.",1,eng,0,,,train
ex50,The clinic in Arusha dispensed medication while matric registration was still under way.,1,eng,1,,,train
ex51,Ihhovisi le-Home Affairs eTembisa laqhubeka nokukhupha omazisi ngemva kokubuya kohlelo.,1,zul,1,,,train
ex52,Officials at the bank branch in Mamelodi updated debit orders after load-shedding ended.,1,eng,1,,,train
ex53,Officials at the library in the municipal area lent out textbooks under normal procedures.,1,eng,0,,,train
ex54,"During the first shift, the SASSA office in Soweto resolved payment queries during office hours.",1,eng,1,,,train
ex55,"Kliniki ya the service point ilipokea wagonjwa wa dharura kwanza, then the routine files were checked.",1,eng,0,,,train
ex56,Kliniki ya eneo la huduma ilipokea wagonjwa tena baada ya foleni kupungua.,1,swa,0,,,train
ex57,"At the school in the district office, staff opened the gates after assembly as the rain started.",1,eng,0,,,train
ex58,"Kliniki ya the suburb ilipokea wagonjwa wa dharura kwanza, then the routine files were checked.",1,eng,0,,,train
ex59,People at the library in the municipal area said officials opened the study hall after the network recovered.,1,eng,0,,,train
ex60,People at the library in Tembisa said officials lent out textbooks while the morning line was still moving.,1,eng,1,,,train
ex61,"At the clinic in the suburb, the nurse said the chronic queue would move first, ngakho patients waited outside.",1,eng,0,,,train
ex62,"Just before lunch, the SASSA office in the service point updated beneficiary records as the rain started.",1,eng,0,,,train
ex63,Maktaba ya Mombasa ilikopesha vitabu kwa wanafunzi jioni.,1,swa,1,,,train
ex64,People at the Home Affairs office in Khayelitsha said officials processed late registrations during office hours.,1,eng,1,,,train
ex65,Officials at the clinic in Gqeberha checked blood-pressure cards near the spaza shops.,1,eng,1,,,train
ex66,People at the bank branch in Umlazi said officials updated debit orders once the manager signed off.,1,eng,1,,,train
ex67,"At the Home Affairs office in the district office, staff processed late registrations after the network recovered.",1,eng,0,,,train
ex68,Shule ya Mbombela ilisajili wanafunzi waliochelewa kabla ya kipindi cha kwanza.,1,swa,1,,,train
ex69,People at the Home Affairs office in eThekwini said officials processed late registrations before noon.,1,eng,1,,,train
ex70,Ofisi ya Stellenbosch ya hati za utambulisho ilianza tena kutoa vitambulisho baada ya mtandao kurudi.,1,swa,1,,,train
ex71,Officials at the municipal office in Kigali received housing applications after the clinic queue moved.,1,eng,1,,,train
