id,text,label,language,is_local_task,pair_id,pair_role,split
ex1,The platform worked well today for the water account.,1,eng,0,,,train
ex2,The response was quick and clear for the student portal.,1,eng,0,,,train
ex3,The response was quick and clear for the student portal.,1,eng,0,,,train
ex4,The application process was smooth for the student portal.,1,eng,0,,,train
ex5,The office resolved the issue promptly for the clinic booking.,1,eng,0,,,train
ex6,The platform worked well today for the licence renewal.,1,eng,0,,,train
ex7,The results were accurate and useful for the grant application.,1,eng,0,,,train
ex8,The update improved the user experience for the student portal.,1,eng,0,,,train
ex9,The platform worked well today for the grant application.,1,eng,0,,,train
ex10,The support team was helpful for the student portal.,1,eng,0,,,train
ex11,The instructions were easy to follow for the water account.,1,eng,0,,,train
ex12,The application process was smooth for the ID verification.,1,eng,0,,,train
ex13,The staff handled the case professionally for the water account.,1,eng,0,,,train
ex14,The instructions were easy to follow for the licence renewal.,1,eng,0,,,train
ex15,The update improved the user experience for the payment system.,1,eng,0,,,train
ex16,The staff handled the case professionally for the ID verification.,1,eng,0,,,train
ex17,The staff handled the case professionally for the ID verification.,1,eng,0,,,train
ex18,The staff handled the case professionally for the clinic booking.,1,eng,0,,,train
ex19,The platform worked well today for the course registration.,1,eng,0,,,train
ex20,The office resolved the issue promptly for the support ticket.,1,eng,0,,,train
ex21,The application process was smooth for the course registration.,1,eng,0,,,train
ex22,The instructions were easy to follow for the support ticket.,1,eng,0,,,train
ex23,The application process was smooth for the payment system.,1,eng,0,,,train
ex24,The response was quick and clear for the water account.,1,eng,0,,,train
ex25,The office resolved the issue promptly for the student portal.,1,eng,0,,,train
ex26,The platform worked well today for the housing request.,1,eng,0,,,train
ex27,The instructions were easy to follow for the housing request.,1,eng,0,,,train
ex28,The update improved the user experience for the water account.,1,eng,0,,,train
ex29,The results were accurate and useful for the water account.,1,eng,0,,,train
ex30,The update improved the user experience for the student portal.,1,eng,0,,,train
ex31,The office resolved the issue promptly for the support ticket.,1,eng,0,,,train
ex32,The update improved the user experience for the licence renewal.,1,eng,0,,,train
ex33,The response was quick and clear for the licence renewal.,1,eng,0,,,train
ex34,The application process was smooth for the housing request.,1,eng,0,,,train
ex35,The results were accurate and useful for the clinic booking.,1,eng,0,,,train
ex36,The results were accurate and useful for the support ticket.,1,eng,0,,,train
ex37,The results were accurate and useful for the grant application.,1,eng,0,,,train
ex38,The response was quick and clear for the grant application.,1,eng,0,,,train
ex39,The instructions were easy to follow for the student portal.,1,eng,0,,,train
ex40,The platform worked well today for the support ticket.,1,eng,0,,,train
ex41,The results were accurate and useful for the student portal.,1,eng,0,,,train
ex42,The staff handled the case professionally for the water account.,1,eng,0,,,train
ex43,The staff handled the case professionally for the licence renewal.,1,eng,0,,,train
ex44,The application process was smooth for the payment system.,1,eng,0,,,train
ex45,The response was quick and clear for the course registration.,1,eng,0,,,train
ex46,The response was quick and clear for the support ticket.,1,eng,0,,,train
ex47,The service was excellent for the course registration.,1,eng,0,,,train
ex48,The update improved the user experience for the course registration.,1,eng,0,,,train
ex49,The staff handled the case professionally for the grant application.,1,eng,0,,,train
ex50,The update improved the user experience for the course registration.,1,eng,0,,,train
ex51,The application process was confusing for the housing request.,0,eng,0,,,train
ex52,The response was slow and unclear for the water account.,0,eng,0,,,train
ex53,The office did not resolve the issue for the student portal.,0,eng,0,,,train
ex54,The response was slow and unclear for the clinic booking.,0,eng,0,,,train
ex55,The support team was unhelpful for the student portal.,0,eng,0,,,train
ex56,The update made the user experience worse for the ID verification.,0,eng,0,,,train
ex57,The office did not resolve the issue for the payment system.,0,eng,0,,,train
ex58,The instructions were difficult to follow for the grant application.,0,eng,0,,,train
ex59,The support team was unhelpful for the housing request.,0,eng,0,,,train
ex60,The service was poor for the payment system.,0,eng,0,,,train
ex61,The platform failed repeatedly today for the student portal.,0,eng,0,,,train
ex62,The results were inaccurate and misleading for the clinic booking.,0,eng,0,,,train
ex63,The platform failed repeatedly today for the water account.,0,eng,0,,,train
ex64,The update made the user experience worse for the course registration.,0,eng,0,,,train
ex65,The instructions were difficult to follow for the clinic booking.,0,eng,0,,,train
ex66,The staff handled the case badly for the payment system.,0,eng,0,,,train
ex67,The service was poor for the grant application.,0,eng,0,,,train
ex68,The staff handled the case badly for the housing request.,0,eng,0,,,train
ex69,The instructions were difficult to follow for the student portal.,0,eng,0,,,train
ex70,The office did not resolve the issue for the payment system.,0,eng,0,,,train
ex71,The instructions were difficult to follow for the payment system.,0,eng,0,,,train
ex72,The response was slow and unclear for the licence renewal.,0,eng,0,,,train
ex73,The service was poor for the water account.,0,eng,0,,,train
ex74,The office did not resolve the issue for the ID verification.,0,eng,0,,,train
ex75,The application process was confusing for the student portal.,0,eng,0,,,train
ex76,The results were inaccurate and misleading for the water account.,0,eng,0,,,train
ex77,The platform failed repeatedly today for the licence renewal.,0,eng,0,,,train
ex78,The update made the user experience worse for the ID verification.,0,eng,0,,,train
ex79,The staff handled the case badly for the licence renewal.,0,eng,0,,,train
ex80,The update made the user experience worse for the licence renewal.,0,eng,0,,,train
ex81,Impendulo ibicacile futhi ishesha,1,zul,1,,,train
ex82,Uhlelo lusebenze kahle namuhla,1,zul,1,,,train
ex83,Le nkonzo ibihle kakhulu,1,zul,1,,,train
ex84,Impendulo ibicacile futhi ishesha,1,zul,1,,,train
ex85,Uhlelo lusebenze kahle namuhla,1,zul,1,,,train
ex86,Ngiyabonga ngosizo olusheshayo,1,zul,1,,,train
ex87,Impendulo ibicacile futhi ishesha,1,zul,1,,,train
ex88,Uhlelo lusebenze kahle namuhla,1,zul,1,,,train
ex89,Uhlelo lusebenze kahle namuhla,1,zul,1,,,train
ex90,Ngiyabonga ngosizo olusheshayo,1,zul,1,,,train
ex91,Le nkonzo ibimbi kakhulu,0,zul,1,,,train
ex92,Le nkonzo ibimbi kakhulu,0,zul,1,,,train
ex93,Usizo belunganele,0,zul,1,,,train
